Cycle Nr.,Temp. [¡C],A1,Time [ms],A2,Time [ms],A3,Time [ms],A4,Time [ms],A5,Time [ms],A6,Time [ms],A7,Time [ms],A8,Time [ms],A9,Time [ms],A10,Time [ms],A11,Time [ms],A12,Time [ms],B1,Time [ms],B2,Time [ms],B3,Time [ms],B4,Time [ms],B5,Time [ms],B6,Time [ms],B7,Time [ms],B8,Time [ms],B9,Time [ms],B10,Time [ms],B11,Time [ms],B12,Time [ms],C1,Time [ms],C2,Time [ms],C3,Time [ms],C4,Time [ms],C5,Time [ms],C6,Time [ms],C7,Time [ms],C8,Time [ms],C9,Time [ms],C10,Time [ms],C11,Time [ms],C12,Time [ms],D1,Time [ms],D2,Time [ms],D3,Time [ms],D4,Time [ms],D5,Time [ms],D6,Time [ms],D7,Time [ms],D8,Time [ms],D9,Time [ms],D10,Time [ms],D11,Time [ms],D12,Time [ms],E1,Time [ms],E2,Time [ms],E3,Time [ms],E4,Time [ms],E5,Time [ms],E6,Time [ms],E7,Time [ms],E8,Time [ms],E9,Time [ms],E10,Time [ms],E11,Time [ms],E12,Time [ms],F1,Time [ms],F2,Time [ms],F3,Time [ms],F4,Time [ms],F5,Time [ms],F6,Time [ms],F7,Time [ms],F8,Time [ms],F9,Time [ms],F10,Time [ms],F11,Time [ms],F12,Time [ms],G1,Time [ms],G2,Time [ms],G3,Time [ms],G4,Time [ms],G5,Time [ms],G6,Time [ms],G7,Time [ms],G8,Time [ms],G9,Time [ms],G10,Time [ms],G11,Time [ms],G12,Time [ms],H1,Time [ms],H2,Time [ms],H3,Time [ms],H4,Time [ms],H5,Time [ms],H6,Time [ms],H7,Time [ms],H8,Time [ms],H9,Time [ms],H10,Time [ms],H11,Time [ms],H12,Time [ms]
1,37.4,0.0394,0,0.0395,200,0.0397,400,0.0399,600,0.0398,800,0.0393,1001,0.0397,1201,0.0395,1401,0.0395,1601,0.0396,1801,0.0394,2001,0.0394,2201,0.0393,4706,0.0451,4506,0.943,4306,0.937,4106,0.9511,3906,0.9596,3706,0.9621,3505,0.973,3305,0.9686,3105,0.9787,2905,0.0393,2705,0.0395,2505,0.0391,5014,0.0403,5214,0.9933,5414,0.9811,5614,0.9942,5814,0.0396,6014,0.0394,6214,0.0393,6414,0.0398,6614,0.87,6814,0.0394,7015,0.0394,7215,0.0394,9720,0.04,9520,0.9767,9320,0.9624,9120,0.9566,8920,0.9588,8720,0.9559,8520,0.9486,8320,0.9555,8120,0.9492,7920,0.0393,7720,0.0394,7520,0.0393,10024,0.0395,10224,0.9528,10424,0.968,10624,0.9637,10824,0.4257,11024,0.0393,11224,0.0394,11424,0.0392,11624,0.0394,11824,0.0393,12024,0.0394,12224,0.0393,14730,0.04,14530,0.9453,14330,0.9673,14130,0.9606,13930,1.0091,13730,0.979,13530,1.0027,13329,0.0394,13129,0.0394,12929,0.0407,12729,0.0394,12529,0.0394,15035,0.0402,15235,0.9652,15435,0.9936,15635,0.0343,15835,1.6333,16035,0.8662,16235,0.0396,16435,0.0392,16635,0.0394,16835,0.0394,17036,0.0394,17236,0.0393,19742,0.0395,19542,0.0391,19342,0.0439,19142,0.0386,18942,0.0392,18742,0.0382,18542,0.0384,18342,0.039,18142,0.0395,17942,0.0394,17742,0.039,17542
2,37.9,0.0394,60017,0.0395,60218,0.0397,60419,0.0399,60620,0.0398,60821,0.0393,61022,0.0397,61223,0.0395,61424,0.0395,61625,0.0396,61826,0.0395,62027,0.0394,62228,0.0393,64748,0.0452,64547,0.936,64346,0.9291,64145,0.9439,63944,0.9553,63743,0.9541,63542,0.9568,63341,0.9671,63140,0.9786,62939,0.0393,62738,0.0395,62537,0.0392,65057,0.0404,65258,0.9858,65459,0.9722,65660,0.9917,65861,0.0396,66062,0.0395,66263,0.0394,66464,0.0398,66665,0.8726,66866,0.0394,67067,0.0394,67268,0.0395,69789,0.0402,69588,0.9452,69387,0.9424,69186,0.9442,68985,0.945,68784,0.948,68583,0.9381,68382,0.9382,68181,0.9376,67980,0.0394,67779,0.0395,67578,0.0393,70094,0.0395,70295,0.9343,70496,0.9484,70697,0.9535,70898,0.4227,71099,0.0393,71300,0.0395,71501,0.0392,71702,0.0395,71903,0.0394,72105,0.0394,72305,0.0393,74820,0.0401,74619,0.9336,74418,0.9581,74217,0.9524,74016,1.0016,73815,0.9882,73614,0.9931,73413,0.0394,73212,0.0395,73011,0.0407,72810,0.0394,72609,0.0394,75127,0.0402,75328,0.9553,75529,0.9872,75730,0.0343,75931,1.6428,76132,0.8884,76333,0.0397,76534,0.0392,76735,0.0394,76936,0.0395,77137,0.0394,77338,0.0393,79854,0.0395,79653,0.0391,79452,0.044,79251,0.0386,79050,0.0393,78849,0.0381,78648,0.0384,78447,0.039,78246,0.0395,78045,0.0394,77844,0.0391,77643
3,37.5,0.0394,120024,0.0395,120225,0.0397,120426,0.0399,120627,0.0397,120828,0.0393,121029,0.0396,121230,0.0395,121432,0.0395,121633,0.0396,121834,0.0394,122035,0.0394,122236,0.0393,124748,0.0452,124547,0.9295,124347,0.9276,124146,0.9372,123945,0.9502,123745,0.9492,123545,0.9544,123345,0.9612,123144,0.9717,122943,0.0393,122742,0.0395,122541,0.0392,125053,0.0404,125253,0.9864,125453,0.9788,125653,0.9895,125853,0.0396,126053,0.0395,126253,0.0394,126453,0.04,126653,0.8718,126853,0.0394,127053,0.0395,127253,0.0395,129759,0.0401,129559,0.9428,129359,0.9589,129159,0.9352,128958,0.9348,128755,0.9347,128555,0.9312,128355,0.9296,128155,0.9286,127955,0.0394,127755,0.0395,127555,0.0393,130062,0.0395,130262,0.9392,130462,0.9416,130662,0.9447,130862,0.423,131063,0.0393,131263,0.0395,131463,0.0391,131663,0.0395,131863,0.0394,132063,0.0395,132263,0.0393,134775,0.0401,134575,0.9288,134375,0.9448,134175,0.9396,133975,1.0009,133775,0.9885,133575,0.9903,133374,0.0394,133173,0.0394,132972,0.0407,132771,0.0394,132570,0.0394,135079,0.0402,135280,0.9567,135481,0.9821,135684,0.0343,135885,1.6397,136085,0.8828,136285,0.0397,136485,0.0392,136685,0.0394,136885,0.0395,137085,0.0395,137286,0.0394,139802,0.0395,139601,0.0391,139400,0.044,139199,0.0386,138998,0.0393,138797,0.0381,138596,0.0384,138395,0.0391,138194,0.0395,137993,0.0394,137792,0.0391,137591
4,37.2,0.0394,180042,0.0395,180243,0.0397,180444,0.0399,180645,0.0397,180846,0.0393,181047,0.0397,181248,0.0395,181449,0.0395,181650,0.0396,181851,0.0395,182052,0.0394,182253,0.0393,184769,0.0453,184568,0.9246,184367,0.9167,184166,0.9302,183965,0.9455,183764,0.9428,183563,0.948,183362,0.9579,183161,0.9688,182960,0.0393,182759,0.0395,182558,0.0392,185076,0.0404,185277,0.9835,185478,0.9758,185680,0.9885,185880,0.0397,186081,0.0395,186282,0.0394,186483,0.0401,186684,0.8747,186885,0.0394,187086,0.0395,187287,0.0395,189803,0.0401,189601,0.9318,189400,0.9225,189199,0.9282,188998,0.9237,188797,0.9286,188596,0.9263,188395,0.9204,188194,0.9219,187993,0.0393,187792,0.0395,187591,0.0393,190110,0.0395,190311,0.9338,190512,0.9351,190713,0.9352,190914,0.4198,191115,0.0393,191316,0.0395,191517,0.0392,191718,0.0396,191919,0.0394,192120,0.0395,192321,0.0393,194854,0.0401,194653,0.9185,194452,0.9355,194251,0.931,194050,1.0002,193849,0.9855,193648,0.9888,193447,0.0395,193246,0.0394,193045,0.0407,192844,0.0394,192643,0.0395,195160,0.0402,195361,0.9645,195562,0.9861,195763,0.0344,195964,1.6167,196165,0.8965,196366,0.0397,196567,0.0393,196768,0.0394,196969,0.0395,197170,0.0395,197371,0.0394,199890,0.0396,199689,0.0392,199487,0.044,199286,0.0387,199085,0.0393,198883,0.0382,198682,0.0384,198481,0.0391,198280,0.0395,198079,0.0395,197878,0.0391,197677
5,37.1,0.0394,240055,0.0395,240256,0.0396,240457,0.0399,240658,0.0397,240858,0.0393,241059,0.0397,241260,0.0395,241461,0.0394,241662,0.0396,241863,0.0394,242064,0.0393,242265,0.0394,244775,0.0452,244575,0.9156,244375,0.9085,244175,0.9233,243975,0.9389,243775,0.9433,243575,0.9475,243375,0.9532,243174,0.9649,242973,0.0393,242772,0.0395,242571,0.0392,245078,0.0404,245278,0.9773,245478,0.974,245678,0.9851,245878,0.0396,246079,0.0394,246279,0.0394,246479,0.04,246679,0.8714,246879,0.0394,247079,0.0394,247280,0.0395,249789,0.0401,249588,0.9222,249387,0.9083,249186,0.9195,248986,0.916,248786,0.9208,248586,0.917,248386,0.916,248185,0.9143,247985,0.0393,247785,0.0395,247584,0.0393,250096,0.0395,250297,0.9269,250498,0.9292,250699,0.9261,250900,0.4145,251100,0.0393,251300,0.0394,251501,0.0392,251702,0.0395,251903,0.0393,252104,0.0394,252305,0.0393,254812,0.0401,254612,0.9112,254412,0.9268,254212,0.9236,254012,1.0005,253812,0.9887,253612,0.9889,253412,0.0394,253212,0.0394,253011,0.0407,252810,0.0394,252609,0.0394,255119,0.0402,255320,0.9674,255520,0.9884,255720,0.0344,255920,1.614,256120,0.8996,256320,0.0397,256520,0.0392,256720,0.0394,256920,0.0395,257120,0.0394,257320,0.0394,259829,0.0395,259629,0.0391,259429,0.044,259229,0.0386,259028,0.0393,258828,0.0382,258628,0.0384,258428,0.039,258227,0.0395,258027,0.0394,257827,0.0391,257626
6,37.1,0.0394,300068,0.0395,300269,0.0397,300470,0.0399,300671,0.0397,300872,0.0393,301073,0.0397,301274,0.0395,301475,0.0395,301676,0.0396,301877,0.0395,302078,0.0394,302279,0.0393,304795,0.0453,304594,0.9075,304393,0.8998,304192,0.9168,303991,0.9321,303790,0.9345,303589,0.9464,303388,0.9492,303187,0.9612,302986,0.0393,302785,0.0395,302584,0.0392,305103,0.0404,305304,0.9784,305505,0.9743,305708,0.9844,305908,0.0397,306109,0.0395,306310,0.0394,306511,0.04,306712,0.8738,306913,0.0394,307114,0.0395,307316,0.0395,309833,0.0401,309632,0.9176,309431,0.903,309230,0.9109,309029,0.9078,308828,0.9131,308627,0.9104,308426,0.9075,308225,0.9056,308024,0.0393,307823,0.0394,307622,0.0393,310138,0.0396,310339,0.9175,310540,0.9211,310741,0.9186,310942,0.4021,311143,0.0393,311344,0.0395,311545,0.0392,311746,0.0395,311947,0.0394,312148,0.0394,312349,0.0393,314865,0.0401,314664,0.9011,314463,0.9197,314262,0.9162,314061,1.0007,313860,0.9881,313659,0.9901,313458,0.0394,313257,0.0394,313056,0.0407,312855,0.0394,312654,0.0394,315171,0.0402,315372,0.9673,315573,0.9897,315774,0.0344,315975,1.6192,316176,0.8994,316377,0.0397,316578,0.0392,316779,0.0394,316980,0.0395,317182,0.0394,317383,0.0394,319898,0.0396,319697,0.0391,319496,0.044,319295,0.0386,319094,0.0393,318893,0.0382,318692,0.0384,318491,0.039,318290,0.0395,318089,0.0394,317888,0.0391,317687
7,37.1,0.0394,360082,0.0395,360283,0.0397,360484,0.0399,360684,0.0397,360884,0.0393,361084,0.0396,361285,0.0395,361486,0.0395,361687,0.0396,361888,0.0394,362089,0.0394,362290,0.0393,364805,0.0452,364604,0.9016,364403,0.8924,364202,0.9096,364001,0.9276,363800,0.9282,363599,0.9364,363398,0.9446,363197,0.9557,362996,0.0393,362795,0.0395,362594,0.0392,365108,0.0404,365309,0.9721,365510,0.9716,365711,0.9823,365912,0.0397,366114,0.0394,366315,0.0394,366516,0.0401,366717,0.8753,366918,0.0394,367119,0.0395,367320,0.0395,369837,0.0401,369636,0.9136,369435,0.9343,369234,0.9009,369033,0.8986,368832,0.9031,368631,0.9004,368430,0.8993,368229,0.8987,368028,0.0394,367827,0.0394,367626,0.0393,370145,0.0395,370346,0.9026,370547,0.9136,370748,0.9098,370949,0.398,371150,0.0393,371351,0.0395,371552,0.0392,371753,0.0395,371954,0.0394,372155,0.0395,372356,0.0393,374872,0.0401,374671,0.8923,374470,0.9106,374269,0.9084,374068,0.9999,373867,0.9868,373666,0.9887,373465,0.0394,373264,0.0395,373063,0.0407,372862,0.0394,372661,0.0394,375184,0.0401,375385,0.9668,375586,0.9908,375788,0.0344,375989,1.6235,376190,0.8989,376391,0.0397,376592,0.0392,376793,0.0394,376994,0.0395,377195,0.0395,377396,0.0394,379915,0.0395,379714,0.0391,379513,0.044,379312,0.0386,379111,0.0393,378910,0.0382,378709,0.0384,378508,0.039,378307,0.0395,378106,0.0394,377905,0.0391,377704
8,37.1,0.0394,420094,0.0395,420294,0.0397,420495,0.0399,420696,0.0397,420897,0.0393,421098,0.0397,421299,0.0395,421500,0.0395,421701,0.0396,421902,0.0395,422103,0.0393,422304,0.0394,424821,0.0453,424621,0.8948,424419,0.8861,424218,0.9006,424018,0.9212,423817,0.925,423616,0.9403,423416,0.9387,423215,0.9505,423014,0.0394,422813,0.0395,422612,0.0392,425125,0.0403,425326,0.9702,425527,0.968,425730,0.9825,425932,0.0396,426133,0.0395,426334,0.0394,426534,0.0401,426735,0.8713,426935,0.0394,427136,0.0395,427337,0.0395,429854,0.0401,429654,0.9027,429453,0.8914,429252,0.8963,429051,0.8927,428850,0.8962,428649,0.895,428449,0.8949,428248,0.889,428047,0.0394,427846,0.0395,427645,0.0393,430159,0.0395,430359,0.8914,430560,0.9032,430761,0.9027,430962,0.3831,431163,0.0393,431364,0.0395,431564,0.0392,431765,0.0395,431965,0.0394,432166,0.0395,432367,0.0393,434880,0.0401,434680,0.8835,434478,0.902,434278,0.9001,434077,1.0009,433876,0.9852,433675,0.9901,433475,0.0394,433274,0.0394,433073,0.0407,432872,0.0394,432671,0.0395,435185,0.0402,435386,0.9679,435586,0.9913,435787,0.0344,435988,1.6257,436189,0.9003,436390,0.0397,436590,0.0392,436790,0.0394,436990,0.0395,437191,0.0395,437392,0.0394,439905,0.0396,439705,0.0392,439504,0.044,439303,0.0387,439102,0.0393,438901,0.0382,438700,0.0384,438500,0.0391,438299,0.0396,438099,0.0395,437898,0.0391,437697
9,37.1,0.0394,480110,0.0395,480310,0.0397,480510,0.0399,480710,0.0397,480910,0.0393,481110,0.0396,481310,0.0395,481510,0.0395,481710,0.0396,481910,0.0395,482110,0.0393,482310,0.0393,484816,0.0453,484616,0.8884,484416,0.8812,484216,0.894,484016,0.9161,483816,0.9177,483616,0.9295,483415,0.9329,483215,0.9458,483015,0.0393,482815,0.0395,482615,0.0392,485123,0.0404,485323,0.9623,485523,0.9671,485723,0.9805,485923,0.0396,486123,0.0394,486323,0.0393,486523,0.04,486723,0.8728,486923,0.0394,487123,0.0394,487323,0.0395,489828,0.0401,489628,0.8952,489428,0.8725,489228,0.8847,489028,0.8851,488828,0.8903,488628,0.8826,488428,0.8884,488228,0.8831,488028,0.0393,487828,0.0394,487628,0.0394,490132,0.0395,490332,0.8827,490532,0.9001,490732,0.8933,490932,0.3701,491132,0.0393,491332,0.0394,491532,0.0392,491732,0.0395,491932,0.0394,492132,0.0395,492332,0.0394,494840,0.0401,494640,0.8744,494440,0.8947,494240,0.8921,494040,1.0013,493840,0.9851,493640,0.9888,493440,0.0394,493239,0.0394,493039,0.0407,492838,0.0394,492638,0.0394,495143,0.0402,495343,0.968,495543,0.9917,495743,0.0343,495943,1.6276,496143,0.9015,496343,0.0397,496543,0.0392,496743,0.0394,496943,0.0395,497143,0.0394,497343,0.0394,499848,0.0396,499648,0.0391,499448,0.044,499248,0.0386,499048,0.0393,498848,0.0381,498648,0.0384,498448,0.039,498248,0.0395,498048,0.0395,497848,0.0391,497647
10,37,0.0394,540123,0.0395,540324,0.0397,540525,0.0399,540726,0.0397,540927,0.0393,541128,0.0396,541329,0.0395,541530,0.0395,541731,0.0396,541932,0.0395,542133,0.0393,542335,0.0393,544849,0.0453,544648,0.8802,544447,0.872,544246,0.887,544045,0.9071,543844,0.9136,543643,0.93,543442,0.9275,543241,0.9402,543040,0.0394,542839,0.0395,542638,0.0392,545154,0.0404,545355,0.9595,545556,0.9657,545757,0.9786,545958,0.0397,546159,0.0395,546360,0.0394,546561,0.0401,546762,0.8763,546963,0.0394,547164,0.0394,547365,0.0395,549881,0.0402,549680,0.8865,549479,0.8576,549278,0.8783,549077,0.8745,548876,0.8797,548675,0.8768,548474,0.879,548273,0.873,548072,0.0393,547871,0.0394,547670,0.0394,550186,0.0396,550387,0.8721,550588,0.8858,550790,0.8855,550991,0.3558,551192,0.0393,551393,0.0395,551594,0.0392,551796,0.0395,551997,0.0394,552198,0.0395,552399,0.0393,554915,0.0401,554714,0.8658,554513,0.8868,554312,0.8836,554111,1.0012,553910,0.9853,553709,0.9904,553508,0.0395,553307,0.0394,553106,0.0408,552905,0.0394,552704,0.0394,555220,0.0402,555421,0.9677,555622,0.9925,555823,0.0345,556024,1.6283,556225,0.902,556426,0.0396,556627,0.0392,556828,0.0394,557029,0.0395,557230,0.0395,557431,0.0394,559948,0.0395,559747,0.0392,559546,0.044,559345,0.0387,559144,0.0393,558943,0.0382,558742,0.0384,558541,0.0391,558340,0.0396,558139,0.0394,557938,0.0391,557737
